Date (DD/MM/YYYY),Time (24 hrs XX:XX),Sampling point,Ambient temperature (°C),Ambient humidity,Sample temperature (°C),pH,"EC
(µS/cm)","TDS
(mg/L)","TSS
(mL sed/L)","DO
(mg/L)",Level (cm),Turbidity (NTU),"Hardness
(mg CaCO3/L)",Hardness classification,"Total Cl-
(mg Cl-/L)"
09/05/2023,14:15,Puente Bilbao,17,0.47,19,8.3,1630,810,1.8,4.3,,,147,BLANDA,156
14/06/2023,14:30,Puente Bilbao,11.9,0.47,13,8.1,1000,490,18,5.3,,41.2,94,BLANDA,78
14/06/2023,14:30,Puente Bilbao,11.9,0.47,13,8.2,1000,490,18,4.67,,38.9,86,BLANDA,82
14/06/2023,15:00,Arroyo_Las Torres,11.9,0.47,13,8.3,1350,670,0.1,7.01,,30.7,200,SEMIDURA,117
14/06/2023,15:00,Arroyo_Las Torres,11.9,0.47,13,8.5,1350,660,0.1,7.23,,25.6,196,SEMIDURA,117
14/06/2023,15:00,Puente Irigoyen,11.9,0.47,13,8.2,1200,590,26,5.44,,24.6,151,SEMIDURA,109
14/06/2023,15:00,Puente Irigoyen,11.9,0.47,12.9,8.2,1220,600,26,5.34,,24,151,SEMIDURA,113
14/06/2023,15:30,Puente Falbo,11.9,0.47,12.8,8,1260,620,36,2.24,,21,139,BLANDA,113
14/06/2023,15:30,Puente Falbo,11.9,0.47,12.9,8,1260,620,36,1.95,,21.5,139,BLANDA,113
23/06/2023,12:30,Puente Bilbao,10.4,0.87,13.9,8.2,1250,620,28,4.55,,60.5,102,BLANDA,121
23/06/2023,12:30,Puente Bilbao,10.4,0.87,13.8,8.1,1220,600,28,4.47,,118,102,BLANDA,121
23/06/2023,12:45,Arroyo_Las Torres,10.4,0.87,13.2,8.3,1460,720,56,5.81,,51.1,204,SEMIDURA,129
23/06/2023,12:45,Arroyo_Las Torres,10.4,0.87,13.2,8.3,1410,700,56,5.77,,55.8,200,SEMIDURA,133
23/06/2023,12:55,Puente Irigoyen,10.4,0.87,14.4,8.1,1280,630,36,2.66,,56.8,130,BLANDA,109
23/06/2023,12:55,Puente Irigoyen,10.4,0.87,14.1,8.1,1290,640,36,3.38,,52.8,122,BLANDA,113
23/06/2023,13:05,Arroyo Salguero,10.4,0.87,14.6,8.2,930,460,0.1,5.88,,5.16,204,SEMIDURA,59
23/06/2023,13:05,Arroyo Salguero,10.4,0.87,14.8,8.2,940,460,0.1,6.02,,127,208,SEMIDURA,63
23/06/2023,13:15,Puente Falbo,10.4,0.87,14.3,8.1,1230,610,24,2.93,,57.9,159,SEMIDURA,102
23/06/2023,13:15,Puente Falbo,10.4,0.87,14.4,8.1,1290,640,24,3.48,,53.9,163,SEMIDURA,102
26/06/2023,14:15,Puente Bilbao,18.2,0.77,15.3,7.8,1280,630,110,2.03,,622,106,BLANDA,128
26/06/2023,14:15,Puente Bilbao,18.2,0.77,15.3,8,1290,630,110,1.94,,397,106,BLANDA,126
26/06/2023,14:45,Arroyo_Las Torres,18.2,0.77,15.2,8.3,1370,680,28,5.07,,55.1,179,SEMIDURA,124
26/06/2023,14:45,Arroyo_Las Torres,18.2,0.77,15.1,8.4,1400,680,28,4.51,,46.7,167,SEMIDURA,126
26/06/2023,14:45,Puente Irigoyen,18.2,0.77,15.4,8,1480,700,36,1.57,,58.7,151,SEMIDURA,128
26/06/2023,14:45,Puente Irigoyen,18.2,0.77,15.2,8,1430,710,36,1.52,,78.3,147,BLANDA,130
26/06/2023,15:00,Arroyo Salguero,18.2,0.77,15.2,8.3,990,490,0.1,5.3,,2.68,212,SEMIDURA,64
26/06/2023,15:00,Arroyo Salguero,18.2,0.77,15,8.3,970,480,0.1,5.53,,3.4,204,SEMIDURA,64
26/06/2023,15:15,Puente Falbo,18.2,0.77,15.4,8,1330,660,42,1.8,,88.5,155,SEMIDURA,105
26/06/2023,15:15,Puente Falbo,18.2,0.77,15.5,8,1290,640,42,1.83,,59.8,163,SEMIDURA,107
28/06/2023,13:30,Puente Bilbao,14.4,0.4,15.6,8.3,1240,610,40,4.59,,40.8,110,BLANDA,99
28/06/2023,13:30,Puente Bilbao,14.4,0.4,16.1,8.2,1240,610,40,4.32,,44.8,106,BLANDA,99
28/06/2023,13:45,Arroyo_Las Torres,14.4,0.4,17.1,8.5,1480,730,70,7.65,,247,179,SEMIDURA,141
28/06/2023,13:45,Arroyo_Las Torres,14.4,0.4,16.9,8.4,1470,730,70,7.05,,362,188,SEMIDURA,140
28/06/2023,14:00,Puente Irigoyen,14.4,0.4,16.6,8.1,1310,650,46,1.68,,91.5,135,BLANDA,116
28/06/2023,14:00,Puente Irigoyen,14.4,0.4,16.6,8.1,1360,670,46,2.4,,133,135,BLANDA,114
28/06/2023,14:15,Arroyo Salguero,14.4,0.4,16.8,8.3,990,490,0.1,5.89,,2.77,212,SEMIDURA,64
28/06/2023,14:15,Arroyo Salguero,14.4,0.4,16.8,8.3,1000,490,0.1,6.14,,3.59,204,SEMIDURA,66
28/06/2023,14:30,Puente Falbo,14.4,0.4,17.9,8.2,1340,660,32,1.76,,48.6,147,BLANDA,109
28/06/2023,14:30,Puente Falbo,14.4,0.4,16.7,8.1,1330,660,32,1.75,,47,151,SEMIDURA,107
05/07/2023,15:15,Puente Bilbao,18,0.6,17.8,7.9,1210,600,92,1.79,28,1000,114,BLANDA,97
05/07/2023,15:15,Puente Bilbao,18,0.6,18.1,7.7,1170,580,92,1.35,28,1000,114,BLANDA,95
05/07/2023,15:35,Arroyo_Las Torres,18,0.6,18.2,8.1,1000,490,50,4.97,28,238,135,BLANDA,79
05/07/2023,15:35,Arroyo_Las Torres,18,0.6,18.2,8.1,1000,490,50,3.12,28,351,139,BLANDA,81
05/07/2023,15:45,Puente Irigoyen,18,0.6,18.2,8.2,1310,640,64,1.71,48,95.6,135,BLANDA,120
05/07/2023,15:45,Puente Irigoyen,18,0.6,18.1,8.1,1320,650,64,0.97,48,109,130,BLANDA,116
05/07/2023,15:55,Arroyo Salguero,18,0.6,18.4,8,750,370,26,4.65,25,11.6,155,SEMIDURA,50
05/07/2023,15:55,Arroyo Salguero,18,0.6,18.4,8,750,370,26,4.84,25,13.5,159,SEMIDURA,48
05/07/2023,16:10,Puente Falbo,18,0.6,18.4,8.1,1350,670,56,1.29,35,93.8,143,BLANDA,118
05/07/2023,16:10,Puente Falbo,18,0.6,18.4,8.1,1340,660,56,1.45,35,159,147,BLANDA,120
07/07/2023,14:45,Puente Bilbao,14.3,0.54,21,8.1,1370,680,56,3.6,25,199,106,BLANDA,118
07/07/2023,14:45,Puente Bilbao,14.3,0.54,25.5,8.1,1400,690,56,1.87,25,220,110,BLANDA,120
07/07/2023,15:00,Arroyo_Las Torres,14.3,0.54,23.6,8.4,1330,660,,7.48,35,39.9,179,SEMIDURA,118
07/07/2023,15:00,Arroyo_Las Torres,14.3,0.54,24.3,8.4,1390,690,,7.15,35,49.9,175,SEMIDURA,118
07/07/2023,15:05,Puente Irigoyen,14.3,0.54,16.1,8.2,1220,600,76,2.27,48,114,155,SEMIDURA,114
07/07/2023,15:05,Puente Irigoyen,14.3,0.54,28.1,8.1,1360,670,76,2.35,48,113,159,SEMIDURA,116
07/07/2023,15:15,Arroyo Salguero,14.3,0.54,15.1,8.3,890,440,14,5.16,43,20,196,SEMIDURA,54
07/07/2023,15:15,Arroyo Salguero,14.3,0.54,27.5,8.2,1000,490,14,5.27,43,46.5,192,SEMIDURA,56
07/07/2023,15:25,Puente Falbo,14.3,0.54,20,8.1,1450,720,14,1.48,45,85.4,167,SEMIDURA,109
07/07/2023,15:25,Puente Falbo,14.3,0.54,25.1,8.1,1370,680,14,1.32,45,123,163,SEMIDURA,112
02/08/2023,14:10,Puente Bilbao,26,0.87,18.1,7.2,1430,710,650,1.12,30,1000,147,BLANDA,
02/08/2023,14:10,Puente Bilbao,26,0.87,18.2,7.2,1450,720,650,0.85,30,1000,151,SEMIDURA,
02/08/2023,14:25,Arroyo_Las Torres,26,0.87,18.1,8.4,1400,690,80,3.59,35,221,183,SEMIDURA,124
02/08/2023,14:25,Arroyo_Las Torres,26,0.87,18.1,8.4,1370,680,80,3.46,35,437,179,SEMIDURA,124
02/08/2023,14:35,Puente Irigoyen,26,0.87,18.3,8,1380,680,50,1.56,55,158,143,BLANDA,107
02/08/2023,14:35,Puente Irigoyen,26,0.87,18.3,8,1340,660,50,2,55,209,147,BLANDA,107
02/08/2023,14:45,Arroyo Salguero,26,0.87,18.3,8.2,1020,500,70,4.3,30,21.9,212,SEMIDURA,68
02/08/2023,14:45,Arroyo Salguero,26,0.87,18.2,8.2,1040,510,70,4.02,30,65,216,SEMIDURA,70
02/08/2023,14:55,Puente Falbo,26,0.87,18.2,8.1,1440,710,64,1.93,50,123,179,SEMIDURA,124
02/08/2023,14:55,Puente Falbo,26,0.87,18.2,8.1,1450,720,64,1.84,50,148,175,SEMIDURA,120
08/08/2023,14:30,Puente Bilbao,13.4,0.56,16.8,8.1,1470,730,128,0.68,30,60.9,181,SEMIDURA,110
08/08/2023,14:30,Puente Bilbao,13.4,0.56,15.8,8.2,1460,720,128,0.73,30,53.4,181,SEMIDURA,110
08/08/2023,14:45,Arroyo_Las Torres,13.4,0.56,16,8.6,1520,750,50,8.17,25,25.2,263,SEMIDURA,125
08/08/2023,14:45,Arroyo_Las Torres,13.4,0.56,15.8,8.4,1480,730,50,9.12,25,29.4,263,SEMIDURA,125
08/08/2023,14:55,Puente Irigoyen,13.4,0.56,15.4,8.3,1550,770,40,1.11,55,62.7,222,SEMIDURA,133
08/08/2023,14:55,Puente Irigoyen,13.4,0.56,15.8,8.3,1510,750,40,0.73,55,67.4,222,SEMIDURA,133
08/08/2023,15:05,Arroyo Salguero,13.4,0.56,15.6,8.2,1140,570,36,2.74,30,5.47,316,SEMIDURA,64
08/08/2023,15:05,Arroyo Salguero,13.4,0.56,15.8,8.2,1150,560,36,2.44,30,22.7,316,SEMIDURA,64
08/08/2023,15:20,Puente Falbo,13.4,0.56,15.5,8.2,1420,700,66,0.88,45,66,257,SEMIDURA,100
08/08/2023,15:20,Puente Falbo,13.4,0.56,15.9,8.2,1480,730,66,1.3,45,87.2,257,SEMIDURA,100
15/08/2023,14:40,Puente Bilbao,23,0.36,21,7.3,1590,790,620,0,25,1000,228,SEMIDURA,118
15/08/2023,14:40,Puente Bilbao,23,0.36,20.8,7.3,1520,750,620,0,25,1000,228,SEMIDURA,118
15/08/2023,15:00,Arroyo_Las Torres,23,0.36,21.2,8.5,1430,710,76,5.22,30,147,257,SEMIDURA,112
15/08/2023,15:00,Arroyo_Las Torres,23,0.36,21.1,8.5,1410,700,76,4.25,30,150,257,SEMIDURA,112
15/08/2023,15:10,Puente Irigoyen,23,0.36,21.3,8.1,1690,840,84,0.63,55,160,222,SEMIDURA,145
15/08/2023,15:10,Puente Irigoyen,23,0.36,21.2,8.1,1670,830,84,0.75,55,154,222,SEMIDURA,145
15/08/2023,15:20,Arroyo Salguero,23,0.36,21.4,8.2,1120,550,2,2.68,45,4.52,293,SEMIDURA,64
15/08/2023,15:20,Arroyo Salguero,23,0.36,21.3,8.1,1100,540,2,1.75,45,4.91,293,SEMIDURA,64
15/08/2023,15:30,Puente Falbo,23,0.36,21.4,8.1,1500,740,50,0.26,45,116,257,SEMIDURA,99
15/08/2023,15:30,Puente Falbo,23,0.36,21.3,8,1440,710,50,0.25,45,38.5,257,SEMIDURA,99
18/08/2023,14:10,Puente Bilbao,15.2,0.52,17.4,8.1,1020,500,82,2.87,35,1000,135,BLANDA,64
18/08/2023,14:10,Puente Bilbao,15.2,0.52,17.3,8,960,470,82,1.82,35,1000,135,BLANDA,64
18/08/2023,14:30,Arroyo_Las Torres,15.2,0.52,17.5,8.1,640,310,66,5.35,40,161,152,SEMIDURA,49
18/08/2023,14:30,Arroyo_Las Torres,15.2,0.52,17.7,8.2,620,300,66,5.43,40,161,152,SEMIDURA,49
18/08/2023,14:35,Puente Irigoyen,15.2,0.52,17.8,8.1,740,360,70,3.84,50,124,135,BLANDA,59
18/08/2023,14:35,Puente Irigoyen,15.2,0.52,17.6,8.1,750,370,70,3.8,50,124,135,BLANDA,59
18/08/2023,14:45,Arroyo Salguero,15.2,0.52,17.8,7.9,290,140,1.8,4.82,25,41.3,94,BLANDA,15
18/08/2023,14:45,Arroyo Salguero,15.2,0.52,17.9,7.9,200,140,1.8,5.47,25,41.3,94,BLANDA,15
18/08/2023,14:55,Puente Falbo,15.2,0.52,18.3,8,990,490,48,1.92,55,87.2,146,BLANDA,77
18/08/2023,14:55,Puente Falbo,15.2,0.52,18.4,8.1,1000,490,48,1.89,55,87.2,146,BLANDA,77
24/08/2023,15:20,Puente Bilbao,14.4,0.48,16.9,8.7,1110,550,130,5.47,30,212,111,BLANDA,76
24/08/2023,15:20,Puente Bilbao,14.4,0.48,16.8,8.7,1060,520,130,3.74,30,81,111,BLANDA,76
24/08/2023,15:40,Arroyo_Las Torres,14.4,0.48,16.9,8.4,1440,710,64,5.11,30,23.6,140,BLANDA,97
24/08/2023,15:40,Arroyo_Las Torres,14.4,0.48,16.9,8.4,1400,690,64,4.62,30,14.1,140,BLANDA,97
24/08/2023,15:45,Puente Irigoyen,14.4,0.48,16.9,8.4,1200,590,70,1.73,65,88.9,111,BLANDA,85
24/08/2023,15:45,Puente Irigoyen,14.4,0.48,16.9,8.3,1180,580,70,1.33,65,89.2,111,BLANDA,85
24/08/2023,15:55,Arroyo Salguero,14.4,0.48,16.9,8.2,1120,550,24,3.34,20,2.95,211,SEMIDURA,64
24/08/2023,15:55,Arroyo Salguero,14.4,0.48,16.8,8.1,1140,560,24,2.82,20,3.63,211,SEMIDURA,64
24/08/2023,16:10,Puente Falbo,14.4,0.48,17,8.3,1340,660,50,1.39,55,56.5,135,BLANDA,104
24/08/2023,16:10,Puente Falbo,14.4,0.48,17,8.3,1350,660,50,1.05,55,118,135,BLANDA,104
05/09/2023,14:45,Puente Bilbao,12.8,0.57,15.2,8.6,940,460,60,5.64,55,177,117,BLANDA,69
05/09/2023,14:45,Puente Bilbao,12.8,0.57,15.3,8.4,930,460,60,3.28,55,128,117,BLANDA,69
05/09/2023,15:05,Arroyo_Las Torres,12.8,0.57,15.2,8.4,1300,640,80,7.93,35,33.4,263,SEMIDURA,104
05/09/2023,15:05,Arroyo_Las Torres,12.8,0.57,15.2,8.5,1320,650,80,7.9,35,31.7,263,SEMIDURA,104
05/09/2023,15:10,Puente Irigoyen,12.8,0.57,15.1,8.3,1070,530,46,2.9,65,117,176,SEMIDURA,81
05/09/2023,15:10,Puente Irigoyen,12.8,0.57,15.2,8.4,1080,530,46,3.18,65,113,176,SEMIDURA,81
05/09/2023,15:20,Arroyo Salguero,12.8,0.57,15.3,8,1110,550,18,4.18,25,5.04,316,SEMIDURA,66
05/09/2023,15:20,Arroyo Salguero,12.8,0.57,15.3,8.1,1080,550,18,4.23,25,5.69,316,SEMIDURA,66
05/09/2023,15:40,Puente Falbo,12.8,0.57,15.4,8.4,1050,520,44,1.96,70,113,146,BLANDA,82
05/09/2023,15:40,Puente Falbo,12.8,0.57,15.4,8.4,1070,530,44,1.67,70,133,146,BLANDA,82
14/09/2023,14:15,Puente Bilbao,15,0.51,20.6,8.4,1080,530,56,6.66,40,128,135,BLANDA,76
14/09/2023,14:15,Puente Bilbao,15,0.51,20.8,8.4,1050,520,56,5.57,40,87.2,135,BLANDA,76
14/09/2023,14:35,Arroyo_Las Torres,15,0.51,20.8,8.4,1460,720,60,4.54,35,21.7,269,SEMIDURA,135
14/09/2023,14:35,Arroyo_Las Torres,15,0.51,20.7,8.4,1440,710,60,3.98,35,31.4,269,SEMIDURA,135
14/09/2023,14:40,Puente Irigoyen,15,0.51,20.8,8.3,1280,630,54,3.1,65,98.9,187,SEMIDURA,104
14/09/2023,14:40,Puente Irigoyen,15,0.51,20.8,8.3,1350,660,54,2.7,65,106,187,SEMIDURA,104
14/09/2023,14:50,Arroyo Salguero,15,0.51,20.9,8.1,1060,520,42,4.02,30,22.6,304,SEMIDURA,59
14/09/2023,14:50,Arroyo Salguero,15,0.51,20.9,8.1,1130,550,42,5.08,30,12.4,304,SEMIDURA,59
14/09/2023,15:00,Puente Falbo,15,0.51,20.9,8.2,1350,670,,2.08,55,183,176,SEMIDURA,112
14/09/2023,15:00,Puente Falbo,15,0.51,21.1,8.2,1370,670,,3.33,55,213,176,SEMIDURA,112
29/09/2023,15:15,Puente Bilbao,19.2,0.47,19.9,8,1430,710,80,4.61,30,167,176,SEMIDURA,115
29/09/2023,15:15,Puente Bilbao,19.2,0.47,19.9,8.2,1460,720,80,3.17,30,168,176,SEMIDURA,115
29/09/2023,15:30,Arroyo_Las Torres,19.2,0.47,19.9,8.2,1480,730,120,3.77,30,579,257,SEMIDURA,128
29/09/2023,15:30,Arroyo_Las Torres,19.2,0.47,19.8,8.2,1520,750,120,1.48,30,496,257,SEMIDURA,128
29/09/2023,15:40,Puente Irigoyen,19.2,0.47,19.9,8,1510,750,66,1.86,35,99.7,228,SEMIDURA,117
29/09/2023,15:40,Puente Irigoyen,19.2,0.47,20,8,1540,760,66,1.49,35,100,228,SEMIDURA,117
29/09/2023,15:45,Arroyo Salguero,19.2,0.47,19.9,7.9,1110,550,10,3.81,10,6.05,304,SEMIDURA,62
29/09/2023,15:45,Arroyo Salguero,19.2,0.47,20.1,7.9,1110,550,10,3,10,3.2,304,SEMIDURA,62
29/09/2023,16:00,Puente Falbo,19.2,0.47,20.1,8,1550,770,44,1.3,50,52.1,228,SEMIDURA,128
29/09/2023,16:00,Puente Falbo,19.2,0.47,20.2,8,1540,760,44,4.05,50,44.6,228,SEMIDURA,128
03/10/2023,15:10,Puente Bilbao,20.2,0.54,23.2,7.8,1490,740,74,0.95,35,1000,187,SEMIDURA,117
03/10/2023,15:10,Puente Bilbao,20.2,0.54,23,7.9,1540,760,74,1.14,35,1000,187,SEMIDURA,117
03/10/2023,15:25,Arroyo_Las Torres,20.2,0.54,23,8,1490,740,40,1.38,30,703,246,SEMIDURA,123
03/10/2023,15:25,Arroyo_Las Torres,20.2,0.54,22.9,8.3,1560,770,40,0.49,30,374,246,SEMIDURA,123
03/10/2023,15:30,Puente Irigoyen,20.2,0.54,22.9,8.1,1530,750,38,0.53,45,54.5,228,SEMIDURA,117
03/10/2023,15:30,Puente Irigoyen,20.2,0.54,22.8,8,1540,760,38,0.53,45,27.4,228,SEMIDURA,117
03/10/2023,15:35,Arroyo Salguero,20.2,0.54,22.9,7.9,1130,560,56,1.02,20,1.3,298,SEMIDURA,58
03/10/2023,15:35,Arroyo Salguero,20.2,0.54,22.9,7.9,1140,560,56,0.65,20,2.51,298,SEMIDURA,58
03/10/2023,15:45,Puente Falbo,20.2,0.54,22.8,7.9,1640,810,86,0.7,55,124,211,SEMIDURA,127
03/10/2023,15:45,Puente Falbo,20.2,0.54,22.9,7.9,1680,830,86,0.65,55,30.4,211,SEMIDURA,127
10/10/2023,15:05,Puente Bilbao,27.6,0.38,22.2,7.5,1650,820,280,0,30,1000,,,
10/10/2023,15:05,Puente Bilbao,27.6,0.38,22.2,7.3,1580,780,280,0.19,30,1000,,,
10/10/2023,15:20,Arroyo_Las Torres,27.6,0.38,21.9,8.2,1390,690,80,1.88,25,79,246,SEMIDURA,99
10/10/2023,15:20,Arroyo_Las Torres,27.6,0.38,22.3,8.2,1420,700,80,1.42,25,48.5,246,SEMIDURA,99
10/10/2023,15:25,Puente Irigoyen,27.6,0.38,22.3,8.1,1570,780,40,2.16,35,41,228,SEMIDURA,112
10/10/2023,15:25,Puente Irigoyen,27.6,0.38,22.3,8,1560,770,40,1.96,35,40.9,228,SEMIDURA,112
10/10/2023,15:35,Arroyo Salguero,27.6,0.38,22.2,7.9,1080,530,24,2.66,25,3,298,SEMIDURA,56
10/10/2023,15:35,Arroyo Salguero,27.6,0.38,22.2,7.8,1050,520,24,1.94,25,2.93,298,SEMIDURA,56
10/10/2023,15:40,Puente Falbo,27.6,0.38,22.3,7.9,1640,810,50,1.54,55,42.8,252,SEMIDURA,118
10/10/2023,15:40,Puente Falbo,27.6,0.38,22.3,7.9,1640,810,50,1.61,55,45.4,252,SEMIDURA,118
17/10/2023,15:05,Puente Bilbao,18.7,0.19,21.2,7.7,1620,800,100,0.9,30,285,193,SEMIDURA,142
17/10/2023,15:05,Puente Bilbao,18.7,0.19,21.6,7.8,1630,810,100,0.63,30,206,193,SEMIDURA,142
17/10/2023,15:35,Arroyo_Las Torres,18.7,0.19,21.7,7.9,1440,710,50,1.39,30,43.3,240,SEMIDURA,158
17/10/2023,15:35,Arroyo_Las Torres,18.7,0.19,21.7,8,1530,760,50,1.23,30,52.1,240,SEMIDURA,158
17/10/2023,15:40,Puente Irigoyen,18.7,0.19,21.7,7.9,1600,790,46,1.21,40,33,228,SEMIDURA,174
17/10/2023,15:40,Puente Irigoyen,18.7,0.19,21.6,7.9,1610,800,46,1.06,40,27.8,228,SEMIDURA,174
17/10/2023,15:45,Arroyo Salguero,18.7,0.19,21.7,7.7,930,460,20,1.67,30,1.89,234,SEMIDURA,79
17/10/2023,15:45,Arroyo Salguero,18.7,0.19,21.7,7.7,940,470,20,1.57,30,2.23,234,SEMIDURA,79
17/10/2023,15:55,Puente Falbo,18.7,0.19,22,7.4,1710,850,70,0.62,50,329,222,SEMIDURA,174
17/10/2023,15:55,Puente Falbo,18.7,0.19,22,7.5,1710,850,70,1.08,50,197,222,SEMIDURA,174
24/10/2023,15:15,Puente Bilbao,17,0.72,19.7,7.6,1570,780,60,2.27,30,33.4,193,SEMIDURA,142
24/10/2023,15:15,Puente Bilbao,17,0.72,19.5,7.7,1500,740,60,2.24,30,30.4,193,SEMIDURA,142
24/10/2023,15:35,Arroyo_Las Torres,17,0.72,19.5,7.8,1180,580,40,1.18,25,35.5,211,SEMIDURA,107
24/10/2023,15:35,Arroyo_Las Torres,17,0.72,19.6,7.8,1180,580,40,1.35,25,36.8,211,SEMIDURA,107
24/10/2023,15:40,Puente Irigoyen,17,0.72,19.8,7.9,1450,720,24,1.25,35,36.9,222,SEMIDURA,150
24/10/2023,15:40,Puente Irigoyen,17,0.72,19.8,7.8,1460,720,24,0.96,35,44.2,222,SEMIDURA,150
24/10/2023,15:50,Arroyo Salguero,17,0.72,19.9,7.6,830,410,44,1.98,20,4.68,252,SEMIDURA,47
24/10/2023,15:50,Arroyo Salguero,17,0.72,19.9,7.6,830,410,44,1.7,20,3.5,252,SEMIDURA,47
24/10/2023,15:55,Puente Falbo,17,0.72,20.1,7.8,1520,750,54,1.41,45,39.9,211,SEMIDURA,142
24/10/2023,15:55,Puente Falbo,17,0.72,20.1,7.8,1530,750,54,1.64,45,47.4,211,SEMIDURA,142
31/10/2023,15:00,Puente Bilbao,13.8,0.69,19.2,7.8,1610,790,52,1.11,25,81,165,SEMIDURA,122
31/10/2023,15:00,Puente Bilbao,13.8,0.69,19.3,7.8,1610,790,52,1.17,25,62.5,165,SEMIDURA,122
31/10/2023,15:15,Arroyo_Las Torres,13.8,0.69,19,8,1280,640,44,1.32,30,31.7,205,SEMIDURA,130
31/10/2023,15:15,Arroyo_Las Torres,13.8,0.69,18.8,8,1320,650,44,1.44,30,25.3,205,SEMIDURA,130
31/10/2023,15:20,Puente Irigoyen,13.8,0.69,19,7.9,1390,690,,2.04,40,30.1,200,SEMIDURA,142
31/10/2023,15:20,Puente Irigoyen,13.8,0.69,18.9,8,1420,700,,1.53,40,26.6,200,SEMIDURA,142
31/10/2023,15:25,Arroyo Salguero,13.8,0.69,19.1,7.9,880,430,30,3.46,30,10.1,217,SEMIDURA,55
31/10/2023,15:25,Arroyo Salguero,13.8,0.69,19.1,8,890,440,30,3.41,30,9.31,217,SEMIDURA,55
31/10/2023,15:35,Puente Falbo,13.8,0.69,19.4,7.9,1430,710,20,1.68,60,43.4,188,SEMIDURA,134
31/10/2023,15:35,Puente Falbo,13.8,0.69,19.3,7.9,1470,720,20,1.45,60,39.1,188,SEMIDURA,134
03/11/2023,15:25,Puente Bilbao,13,0.78,24.4,7.5,800,390,50,1.89,30,150,114,BLANDA,59
03/11/2023,15:25,Puente Bilbao,13,0.78,24.4,7.5,810,400,50,0.54,30,219,114,BLANDA,59
03/11/2023,15:35,Arroyo_Las Torres,13,0.78,24.4,7.6,700,340,14,0.61,30,87.1,131,BLANDA,63
03/11/2023,15:35,Arroyo_Las Torres,13,0.78,24.2,7.6,730,360,14,0.9,30,172,131,BLANDA,63
03/11/2023,15:40,Puente Irigoyen,13,0.78,24.3,7.6,820,400,40,0.92,50,69.2,137,BLANDA,71
03/11/2023,15:40,Puente Irigoyen,13,0.78,24.3,7.7,860,420,40,0.73,50,137,137,BLANDA,71
03/11/2023,15:50,Arroyo Salguero,13,0.78,24.2,7.4,540,260,10,1.44,30,7.41,154,SEMIDURA,32
03/11/2023,15:50,Arroyo Salguero,13,0.78,24.6,7.6,580,280,10,1.99,30,13,154,SEMIDURA,32
03/11/2023,15:55,Puente Falbo,13,0.78,24.6,7.6,1110,550,40,0.49,55,104,314,SEMIDURA,138
03/11/2023,15:55,Puente Falbo,13,0.78,24.7,7.6,1160,570,40,0.52,55,181,314,SEMIDURA,138
21/11/2023,15:25,Puente Bilbao,20,0.52,26.3,7.8,1050,520,50,1.17,35,118,108,BLANDA,79
21/11/2023,15:25,Puente Bilbao,20,0.52,26.1,7.8,970,480,50,0.91,35,92.1,108,BLANDA,79
21/11/2023,15:40,Arroyo_Las Torres,20,0.52,26.2,7.9,1530,760,18,1.33,35,19.4,234,SEMIDURA,150
21/11/2023,15:40,Arroyo_Las Torres,20,0.52,26.1,8,1550,770,18,0.55,35,24.5,234,SEMIDURA,150
21/11/2023,15:45,Puente Irigoyen,20,0.52,26.2,7.8,1240,610,60,1.04,45,60,177,SEMIDURA,115
21/11/2023,15:45,Puente Irigoyen,20,0.52,26.2,7.8,1260,620,60,0.63,45,66.1,177,SEMIDURA,115
21/11/2023,15:50,Arroyo Salguero,20,0.52,26.4,7.6,1070,530,10,1.85,40,2.3,268,SEMIDURA,71
21/11/2023,15:50,Arroyo Salguero,20,0.52,26.3,7.7,1010,490,10,1.15,40,2.9,268,SEMIDURA,71
21/11/2023,16:00,Puente Falbo,20,0.52,26.3,7.6,1080,530,44,0.97,60,319,137,BLANDA,95
21/11/2023,16:00,Puente Falbo,20,0.52,26.4,7.7,1090,540,44,0.64,60,388,137,BLANDA,95
28/11/2023,14:50,Puente Bilbao,30.5,0.5,27.7,7.8,1460,700,80,0.96,30,52,154,SEMIDURA,142
28/11/2023,14:50,Puente Bilbao,30.5,0.5,27.6,7.8,1410,700,80,1.31,30,63.9,154,SEMIDURA,142
28/11/2023,15:00,Arroyo_Las Torres,30.5,0.5,27.6,8.2,1570,780,30,1.31,30,4.47,223,SEMIDURA,166
28/11/2023,15:00,Arroyo_Las Torres,30.5,0.5,27.6,8.2,1570,780,30,0.96,30,10.6,223,SEMIDURA,166
28/11/2023,15:05,Puente Irigoyen,30.5,0.5,27.6,8,1530,760,40,0.52,40,19.6,194,SEMIDURA,150
28/11/2023,15:05,Puente Irigoyen,30.5,0.5,27.6,7.9,1530,760,40,0.47,40,21.3,194,SEMIDURA,150
28/11/2023,15:15,Arroyo Salguero,30.5,0.5,27.6,7.8,1050,520,1,1.34,25,1.06,245,SEMIDURA,71
28/11/2023,15:15,Arroyo Salguero,30.5,0.5,27.6,7.6,1030,500,1,1.03,25,1.64,245,SEMIDURA,71
28/11/2023,15:20,Puente Falbo,30.5,0.5,27.6,7.3,1510,750,60,0.45,55,243,200,SEMIDURA,
28/11/2023,15:20,Puente Falbo,30.5,0.5,27.6,7.2,1500,740,60,0.46,55,467,200,SEMIDURA,